timestamp_utc,kind,relative_path,outcome
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Unknown Album/138 Cö shu Nie – asphyxia (Official Video) _ “東京喰種トーキョーグール_re” OP.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Unknown Album/139 Cö shu Nie feat. HYDE -MAISIE(Official Video) (feat. HYDE).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Unknown Album/139 Cö shu Nie feat. HYDE -MAISIE(Official Video) (feat. HYDE).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Unknown Album/143 Cö shu Nie – asphyxia (Official Video) _ “東京喰種トーキョーグール_re” OP.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Unknown Album/143 Cö shu Nie – asphyxia (Official Video) _ “東京喰種トーキョーグール_re” OP.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Unknown Album/144 Cö shu Nie feat. HYDE -MAISIE(Official Video) (feat. HYDE).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Unknown Album/144 Cö shu Nie feat. HYDE -MAISIE(Official Video) (feat. HYDE).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Won't Leave You Behind/01 Won’t Leave You Behind - Won't Leave You Behind.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Won't Leave You Behind/01 Won’t Leave You Behind - Won't Leave You Behind.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/asphyxia/01 asphyxia.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/asphyxia/01 asphyxia.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/undress me/01 undress me.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/undress me/01 undress me.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,DADARAY/DADASTATION/145 イキツクシ - Ikitsukushi.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DADARAY/DADASTATION/145 イキツクシ - Ikitsukushi.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,DAX -Space Shower Digital Archives X-/Unknown Album/147 NATSUMEN - LIVE @ KAIKOO POPWAVE FESTIVAL'10.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DAX -Space Shower Digital Archives X-/Unknown Album/147 NATSUMEN - LIVE @ KAIKOO POPWAVE FESTIVAL'10.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,DAX -Space Shower Digital Archives X-/Unknown Album/148 カネコアヤノ - さよーならあなた @ 森、道、市場 2019.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DAX -Space Shower Digital Archives X-/Unknown Album/148 カネコアヤノ - さよーならあなた @ 森、道、市場 2019.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,DEBOIN/Unknown Album/149 泉まくら _ Izumi Makura - 棄てるなどして (prod. EVISBEATS).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DEBOIN/Unknown Album/149 泉まくら _ Izumi Makura - 棄てるなどして (prod. EVISBEATS).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,DECO_27/Aimai Elegy/02 モザイクロール - Mozaik Role (feat. marina).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DECO_27/Aimai Elegy/02 モザイクロール - Mozaik Role (feat. marina).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,DEXCORE/Unknown Album/151 DRAGOUT..m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DEXCORE/Unknown Album/151 DRAGOUT..lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,DIR EN GREY/DECADE 2003-2007/152 OBSCURE.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DIR EN GREY/DECADE 2003-2007/152 OBSCURE.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,DROPS/Unknown Album/153 Drop's「Tシャツと涙」Music Video.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,DROPS/Unknown Album/153 Drop's「Tシャツと涙」Music Video.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,David Dean Burkhart/Unknown Album/156 Rosemary Fairweather - Chemicals.m4a,deleted
